#++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
#
#   IPW-3 Ice Shape DATA SUBMITTAL FORM for Test Case NACA0012_AE3932, May 18th 2026
#
#       NOMENCLATURE:
#             X_ICED [m]:  X-coordinate of the iced surface
#             Y_ICED [m]:  Y-coordinate of the iced surface
#             Z_ICED [m]:  Z-coordinate of the iced surface
#
#                XXmm:  Roughness height used for the case, in mm.
#                       In the zone name, use the format KS_XXmm.
#                       For example, if k_s = 1.5 mm, use KS_1p5mm. 
#                       For Variable roughness, use KS_VAR
#
#    FLOW CONDITIONS:
#                                   AOA: 4.0 deg
#                           Mach Number: 0.3151 [-]
#       Mean aerodynamic chord (M.A.C.): 0.5334 [m]
#                       Reynolds Number: 3.9795 million (based on MAC)
#                       Freestream Temp: 267.55 [K]
#                        Reference area: 0.97548 [m2]
#               Moment Reference Center: 0.13335, 0, 0 [m] (X, Y, Z)
#
#    ICING CONDITIONS:
#                           Icing Time: 420 [s]
#                                  LWC: 0.55 [g/m3]
#                                  MVD: 20 [μm]
#
#              NOTES: 1. Please use at least 5 decimal places in the numerical values
#                     2. If data are NOT provided, please fill data fields with a numerical value of "-999" 
#
#++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++

AUXDATA NUM_LAYERS  = "insert the number of total ice layers"
                                              
VARIABLES = "X_ICED" "Y_ICED" "Z_ICED"

ZONE T="SLICE_Y_0p9144_BINS01_KS_1mm_SINGLE_LAYER"
-3.596191993E-03 9.143999815E-01 2.032440715E-02
-3.596206196E-03 9.143999815E-01 2.032440715E-02
-7.551257964E-03 9.143999815E-01 1.935930550E-02
-7.551272400E-03 9.143999815E-01 1.935930178E-02
-1.357010659E-02 9.143999815E-01 1.815365627E-02
-1.357012894E-02 9.143999815E-01 1.815365255E-02
-2.049901895E-02 9.143999815E-01 1.572041027E-02
-2.049904503E-02 9.143999815E-01 1.572040096E-02
-2.140336670E-02 9.143999815E-01 1.100547239E-02
-2.140337043E-02 9.143999815E-01 1.100545563E-02
-1.790650375E-02 9.143999815E-01 6.069198251E-03
-1.790649071E-02 9.143999815E-01 6.069180090E-03
-1.415645238E-02 9.143999815E-01 2.421114128E-03
-1.415643841E-02 9.143999815E-01 2.421100857E-03
-9.753935970E-03 9.143999815E-01 1.292709840E-05
-9.753920138E-03 9.143999815E-01 1.291833814E-05
-6.397675723E-03 9.143999815E-01 -2.043730579E-03
-6.397663616E-03 9.143999815E-01 -2.043738030E-03
-4.654539283E-03 9.143999815E-01 -4.889204632E-03
-4.654532764E-03 9.143999815E-01 -4.889214877E-03
-3.255268792E-03 9.143999815E-01 -8.328464814E-03
-3.255263669E-03 9.143999815E-01 -8.328476921E-03
-1.270428766E-03 9.143999815E-01 -1.172147598E-02
-1.270421548E-03 9.143999815E-01 -1.172148809E-02
1.505844528E-03 9.143999815E-01 -1.435409114E-02
1.505854656E-03 9.143999815E-01 -1.435410045E-02
5.898824427E-03 9.143999815E-01 -1.408849936E-02
5.898840260E-03 9.143999815E-01 -1.408849843E-02
1.032811869E-02 9.143999815E-01 -1.314998884E-02
1.032813452E-02 9.143999815E-01 -1.314998511E-02
1.360168960E-02 9.143999815E-01 -1.373703964E-02
1.360170171E-02 9.143999815E-01 -1.373704150E-02
1.676618122E-02 9.143999815E-01 -1.430162601E-02
1.676619239E-02 9.143999815E-01 -1.430162787E-02
1.985186897E-02 9.143999815E-01 -1.485956088E-02
1.985188015E-02 9.143999815E-01 -1.485956274E-02
2.288211510E-02 9.143999815E-01 -1.541096158E-02
2.288212627E-02 9.143999815E-01 -1.541096345E-02
2.587473392E-02 9.143999815E-01 -1.594904624E-02
2.587474510E-02 9.143999815E-01 -1.594904810E-02
2.884086035E-02 9.143999815E-01 -1.647244766E-02
2.884087153E-02 9.143999815E-01 -1.647244953E-02
3.178693354E-02 9.143999815E-01 -1.698102802E-02
3.178694472E-02 9.143999815E-01 -1.698102988E-02
3.471870348E-02 9.143999815E-01 -1.747309975E-02
3.471871465E-02 9.143999815E-01 -1.747310162E-02
3.763972223E-02 9.143999815E-01 -1.794890314E-02
3.763973340E-02 9.143999815E-01 -1.794890501E-02
4.055134952E-02 9.143999815E-01 -1.841205172E-02
4.055136070E-02 9.143999815E-01 -1.841205359E-02
4.345489293E-02 9.143999815E-01 -1.886597462E-02
4.345490411E-02 9.143999815E-01 -1.886597648E-02
4.635153338E-02 9.143999815E-01 -1.931299083E-02
4.635154456E-02 9.143999815E-01 -1.931299269E-02
4.924267903E-02 9.143999815E-01 -1.975262910E-02
4.924269021E-02 9.143999815E-01 -1.975263096E-02
5.213006958E-02 9.143999815E-01 -2.018258162E-02
5.213008076E-02 9.143999815E-01 -2.018258348E-02
5.501447245E-02 9.143999815E-01 -2.060330473E-02
5.501448363E-02 9.143999815E-01 -2.060330659E-02
5.789596960E-02 9.143999815E-01 -2.101736143E-02
5.789598078E-02 9.143999815E-01 -2.101736329E-02
6.076976657E-02 9.143999815E-01 -2.145039104E-02
6.076977775E-02 9.143999815E-01 -2.145039290E-02
6.362292171E-02 9.143999815E-01 -2.197072841E-02
6.362292916E-02 9.143999815E-01 -2.197073027E-02
6.646370143E-02 9.143999815E-01 -2.254679240E-02
6.646370888E-02 9.143999815E-01 -2.254679427E-02
6.930833310E-02 9.143999815E-01 -2.310354263E-02
6.930834055E-02 9.143999815E-01 -2.310354449E-02
7.215650380E-02 9.143999815E-01 -2.364191227E-02
7.215651125E-02 9.143999815E-01 -2.364191413E-02
7.500793785E-02 9.143999815E-01 -2.416271530E-02
7.500794530E-02 9.143999815E-01 -2.416271716E-02
7.786240429E-02 9.143999815E-01 -2.466666512E-02
7.786241174E-02 9.143999815E-01 -2.466666698E-02
