#+++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
#
#   IPW-3 Final Ice Shape DATA SUBMITTAL FORM for Test Case NACA0012_AE3933, May 18th 2026
#
#       NOMENCLATURE:
#             X_ICED [m]:  X-coordinate of the iced surface
#             Y_ICED [m]:  Y-coordinate of the iced surface
#             Z_ICED [m]:  Z-coordinate of the iced surface
#
#                XXmm:  Roughness height used for the case, in mm.
#                       In the zone name, use the format KS_XXmm.
#                       For example, if k_s = 1.5 mm, use KS_1p5mm. 
#                       For Variable roughness, use KS_VAR
#
#    FLOW CONDITIONS:
#                                   AOA: 4.0 deg
#                           Mach Number: 0.3127 [-]
#       Mean aerodynamic chord (M.A.C.): 0.5334 [m]
#                       Reynolds Number: 3.8947 million (based on MAC)
#                       Freestream Temp: 270.95 [K]
#                        Reference area: 0.97548 [m2]
#               Moment Reference Center: 0.13335, 0, 0 [m] (X, Y, Z)
#
#    ICING CONDITIONS:
#                           Icing Time: 420 [s]
#                                  LWC: 0.55 [g/m3]
#                                  MVD: 20 [μm]
#
#              NOTES: 1. Please use at least 5 decimal places in the numerical values
#                     2. If data are NOT provided, please fill data fields with a numerical value of "-999" 
#
#++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++

AUXDATA NUM_LAYERS  = "insert the number of total ice layers"
                                              
VARIABLES = "X_ICED" "Y_ICED" "Z_ICED"

ZONE T="SLICE_Y_0p9144_BINS01_KS_1mm_SINGLE_LAYER"
1.607584059E-01 9.143999815E-01 -3.399255127E-02
1.682908535E-01 9.143999815E-01 -3.447587043E-02
1.682908684E-01 9.143999815E-01 -3.447587043E-02
1.761819720E-01 9.143999815E-01 -3.493467346E-02
1.761819869E-01 9.143999815E-01 -3.493467346E-02
1.843257993E-01 9.143999815E-01 -3.536064178E-02
1.843258142E-01 9.143999815E-01 -3.536064178E-02
1.925498843E-01 9.143999815E-01 -3.574460745E-02
1.925498992E-01 9.143999815E-01 -3.574460745E-02
2.007759213E-01 9.143999815E-01 -3.608449548E-02
2.007759362E-01 9.143999815E-01 -3.608449548E-02
2.090035826E-01 9.143999815E-01 -3.638277575E-02
2.090035975E-01 9.143999815E-01 -3.638277575E-02
2.172325701E-01 9.143999815E-01 -3.664173931E-02
2.172325850E-01 9.143999815E-01 -3.664173931E-02
2.254626453E-01 9.143999815E-01 -3.686351702E-02
2.254626602E-01 9.143999815E-01 -3.686351702E-02
2.336936295E-01 9.143999815E-01 -3.705007210E-02
2.336936444E-01 9.143999815E-01 -3.705007210E-02
2.419252694E-01 9.143999815E-01 -3.720324114E-02
2.419252843E-01 9.143999815E-01 -3.720324114E-02
2.501574755E-01 9.143999815E-01 -3.732471913E-02
2.501575053E-01 9.143999815E-01 -3.732471913E-02
2.583900690E-01 9.143999815E-01 -3.741607815E-02
2.583900988E-01 9.143999815E-01 -3.741607815E-02
2.666229010E-01 9.143999815E-01 -3.747877106E-02
2.666229308E-01 9.143999815E-01 -3.747877106E-02
2.748559117E-01 9.143999815E-01 -3.751412407E-02
2.748559415E-01 9.143999815E-01 -3.751412407E-02
2.830889821E-01 9.143999815E-01 -3.752338141E-02
2.830890119E-01 9.143999815E-01 -3.752338141E-02
2.913220823E-01 9.143999815E-01 -3.750771284E-02
2.913221121E-01 9.143999815E-01 -3.750771284E-02
2.995550931E-01 9.143999815E-01 -3.746818379E-02
2.995551229E-01 9.143999815E-01 -3.746818379E-02
3.077879548E-01 9.143999815E-01 -3.740577400E-02
3.077879846E-01 9.143999815E-01 -3.740577400E-02
3.160206079E-01 9.143999815E-01 -3.732137755E-02
3.160206378E-01 9.143999815E-01 -3.732137755E-02
3.242530227E-01 9.143999815E-01 -3.721580282E-02
3.242530525E-01 9.143999815E-01 -3.721580282E-02
3.324851394E-01 9.143999815E-01 -3.708979487E-02
3.324851692E-01 9.143999815E-01 -3.708979487E-02
3.407169580E-01 9.143999815E-01 -3.694403172E-02
3.407169878E-01 9.143999815E-01 -3.694403172E-02
3.489484191E-01 9.143999815E-01 -3.677909821E-02
3.489484489E-01 9.143999815E-01 -3.677909821E-02
3.571794629E-01 9.143999815E-01 -3.659550101E-02
3.571794927E-01 9.143999815E-01 -3.659550101E-02
3.654100895E-01 9.143999815E-01 -3.639372438E-02
3.654101193E-01 9.143999815E-01 -3.639372438E-02
3.736402988E-01 9.143999815E-01 -3.617422655E-02
3.736403286E-01 9.143999815E-01 -3.617422655E-02
3.818699718E-01 9.143999815E-01 -3.593733162E-02
3.818700016E-01 9.143999815E-01 -3.593733162E-02
3.900991678E-01 9.143999815E-01 -3.568327427E-02
3.900991976E-01 9.143999815E-01 -3.568327427E-02
3.983277977E-01 9.143999815E-01 -3.541228175E-02
3.983278275E-01 9.143999815E-01 -3.541228175E-02
4.065558612E-01 9.143999815E-01 -3.512456268E-02
4.065558910E-01 9.143999815E-01 -3.512456268E-02
