#++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
#
#   IPW-3 Ice Shape DATA SUBMITTAL FORM for Test Case NACA0012_AE3932, May 18th 2026
#
#       NOMENCLATURE:
#             X_ICED [m]:  X-coordinate of the iced surface
#             Y_ICED [m]:  Y-coordinate of the iced surface
#             Z_ICED [m]:  Z-coordinate of the iced surface
#
#                XXmm:  Roughness height used for the case, in mm.
#                       In the zone name, use the format KS_XXmm.
#                       For example, if k_s = 1.5 mm, use KS_1p5mm. 
#                       For Variable roughness, use KS_VAR
#
#    FLOW CONDITIONS:
#                                   AOA: 4.0 deg
#                           Mach Number: 0.3151 [-]
#       Mean aerodynamic chord (M.A.C.): 0.5334 [m]
#                       Reynolds Number: 3.9795 million (based on MAC)
#                       Freestream Temp: 267.55 [K]
#                        Reference area: 0.97548 [m2]
#               Moment Reference Center: 0.13335, 0, 0 [m] (X, Y, Z)
#
#    ICING CONDITIONS:
#                           Icing Time: 420 [s]
#                                  LWC: 0.55 [g/m3]
#                                  MVD: 20 [μm]
#
#              NOTES: 1. Please use at least 5 decimal places in the numerical values
#                     2. If data are NOT provided, please fill data fields with a numerical value of "-999" 
#
#++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++

VARIABLES = "X_ICED" "Y_ICED" "Z_ICED"
ZONE T="SLICE_Y_0p9144_BINS01_KS_0p5334mm_SINGLE_LAYER"
0.52292 0.91440 -0.02922 
0.51916 0.91440 -0.02947 
0.51540 0.91440 -0.02972 
0.51164 0.91440 -0.02996 
0.50788 0.91440 -0.03019 
0.50412 0.91440 -0.03042 
0.50036 0.91440 -0.03065 
0.49660 0.91440 -0.03088 
0.49284 0.91440 -0.03110 
0.48907 0.91440 -0.03131 
0.48531 0.91440 -0.03152 
0.48155 0.91440 -0.03173 
0.47779 0.91440 -0.03194 
0.47403 0.91440 -0.03214 
0.47027 0.91440 -0.03233 
0.46650 0.91440 -0.03253 
0.46274 0.91440 -0.03272 
0.45898 0.91440 -0.03290 
0.45521 0.91440 -0.03309 
0.45145 0.91440 -0.03327 
0.44769 0.91440 -0.03344 
0.44392 0.91440 -0.03361 
0.44016 0.91440 -0.03378 
0.43640 0.91440 -0.03395 
0.43263 0.91440 -0.03411 
0.42887 0.91440 -0.03426 
0.42510 0.91440 -0.03442 
0.42134 0.91440 -0.03457 
0.41758 0.91440 -0.03472 
0.41381 0.91440 -0.03486 
0.41005 0.91440 -0.03500 
0.40628 0.91440 -0.03514 
0.40252 0.91440 -0.03527 
0.39875 0.91440 -0.03540 
0.39499 0.91440 -0.03553 
0.39122 0.91440 -0.03565 
0.38746 0.91440 -0.03577 
0.38369 0.91440 -0.03589 
0.37992 0.91440 -0.03600 
0.37616 0.91440 -0.03611 
0.37239 0.91440 -0.03621 
0.36863 0.91440 -0.03631 
0.36486 0.91440 -0.03641 
0.36109 0.91440 -0.03651 
0.35733 0.91440 -0.03660 
0.35356 0.91440 -0.03668 
0.34979 0.91440 -0.03677 
0.34603 0.91440 -0.03684 
0.34226 0.91440 -0.03692 
0.33849 0.91440 -0.03699 
0.33473 0.91440 -0.03706 
0.33096 0.91440 -0.03712 
0.32719 0.91440 -0.03718 
0.32343 0.91440 -0.03723 
0.31966 0.91440 -0.03728 
0.31589 0.91440 -0.03733 
0.31213 0.91440 -0.03737 
0.30836 0.91440 -0.03741 
0.30459 0.91440 -0.03744 
0.30082 0.91440 -0.03747 
0.29706 0.91440 -0.03749 
0.29329 0.91440 -0.03751 
0.28952 0.91440 -0.03752 
0.28575 0.91440 -0.03753 
0.28199 0.91440 -0.03753 
0.27822 0.91440 -0.03753 
0.27445 0.91440 -0.03752 
0.27068 0.91440 -0.03751 
0.26692 0.91440 -0.03749 
0.26315 0.91440 -0.03746 
0.25938 0.91440 -0.03743 
0.25562 0.91440 -0.03740 
0.25185 0.91440 -0.03735 
0.24808 0.91440 -0.03730 
0.24431 0.91440 -0.03725 
0.24055 0.91440 -0.03719 
0.23678 0.91440 -0.03712 
0.23301 0.91440 -0.03704 
0.22925 0.91440 -0.03696 
0.22548 0.91440 -0.03687 
0.22172 0.91440 -0.03678 
0.21795 0.91440 -0.03667 
0.21418 0.91440 -0.03656 
0.21042 0.91440 -0.03644 
0.20665 0.91440 -0.03631 
0.20289 0.91440 -0.03618 
0.19912 0.91440 -0.03603 
0.19536 0.91440 -0.03588 
0.19160 0.91440 -0.03571 
0.18783 0.91440 -0.03554 
0.18407 0.91440 -0.03536 
0.18031 0.91440 -0.03517 
0.17654 0.91440 -0.03497 
0.17278 0.91440 -0.03475 
0.16902 0.91440 -0.03453 
0.16526 0.91440 -0.03430 
0.16150 0.91440 -0.03405 
0.15774 0.91440 -0.03380 
0.15399 0.91440 -0.03353 
0.15023 0.91440 -0.03325 
0.14647 0.91440 -0.03298 
0.14271 0.91440 -0.03272 
0.13895 0.91440 -0.03245 
0.13520 0.91440 -0.03212 
0.13145 0.91440 -0.03176 
0.12770 0.91440 -0.03142 
0.12394 0.91440 -0.03109 
0.12032 0.91440 -0.03076 
0.11687 0.91440 -0.03042 
0.11358 0.91440 -0.03007 
0.11045 0.91440 -0.02973 
0.10748 0.91440 -0.02939 
0.10464 0.91440 -0.02906 
0.10194 0.91440 -0.02873 
0.09938 0.91440 -0.02841 
0.09693 0.91440 -0.02810 
0.09460 0.91440 -0.02780 
0.09238 0.91440 -0.02751 
0.09027 0.91440 -0.02722 
0.08826 0.91440 -0.02693 
0.08635 0.91440 -0.02666 
0.08444 0.91440 -0.02638 
0.08253 0.91440 -0.02611 
0.08061 0.91440 -0.02584 
0.07871 0.91440 -0.02553 
0.07680 0.91440 -0.02519 
0.07490 0.91440 -0.02488 
0.07299 0.91440 -0.02457 
0.07108 0.91440 -0.02426 
0.06917 0.91440 -0.02396 
0.06727 0.91440 -0.02363 
0.06537 0.91440 -0.02327 
0.06347 0.91440 -0.02290 
0.06157 0.91440 -0.02254 
0.05967 0.91440 -0.02219 
0.05777 0.91440 -0.02182 
0.05588 0.91440 -0.02141 
0.05398 0.91440 -0.02102 
0.05207 0.91440 -0.02070 
0.05013 0.91440 -0.02046 
0.04819 0.91440 -0.02023 
0.04626 0.91440 -0.01994 
0.04434 0.91440 -0.01958 
0.04243 0.91440 -0.01921 
0.04050 0.91440 -0.01889 
0.03856 0.91440 -0.01858 
0.03662 0.91440 -0.01825 
0.03469 0.91440 -0.01787 
0.03277 0.91440 -0.01744 
0.03084 0.91440 -0.01702 
0.02888 0.91440 -0.01666 
0.02690 0.91440 -0.01635 
0.02493 0.91440 -0.01595 
0.02301 0.91440 -0.01539 
0.02065 0.91440 -0.01588 
0.01777 0.91440 -0.01747 
0.01533 0.91440 -0.01783 
0.01338 0.91440 -0.01697 
0.01143 0.91440 -0.01605 
0.00949 0.91440 -0.01505 
0.00756 0.91440 -0.01395 
0.00564 0.91440 -0.01275 
0.00374 0.91440 -0.01141 
0.00188 0.91440 -0.00990 
0.00011 0.91440 -0.00819 
-0.00139 0.91440 -0.00639 
-0.00271 0.91440 -0.00461 
-0.00323 0.91440 -0.00237 
-0.00347 0.91440 -0.00021 
-0.00520 0.91440 0.00093 
-0.00770 0.91440 0.00193 
-0.00996 0.91440 0.00342 
-0.01211 0.91440 0.00533 
-0.01367 0.91440 0.00769 
-0.01414 0.91440 0.00946 
-0.01662 0.91440 0.01346 
-0.01674 0.91440 0.01657 
-0.01654 0.91440 0.01978 
-0.01580 0.91440 0.02290 
-0.01288 0.91440 0.02462 
-0.00634 0.91440 0.02282 
-0.00105 0.91440 0.02074 
0.00153 0.91440 0.02067 
0.00399 0.91440 0.02055 
0.00616 0.91440 0.02074 
0.00819 0.91440 0.02125 
0.01013 0.91440 0.02187 
0.01202 0.91440 0.02248 
0.01391 0.91440 0.02303 
0.01580 0.91440 0.02353 
0.01768 0.91440 0.02401 
0.01956 0.91440 0.02448 
0.02145 0.91440 0.02489 
0.02335 0.91440 0.02523 
0.02523 0.91440 0.02563 
0.02710 0.91440 0.02609 
0.02897 0.91440 0.02652 
0.03085 0.91440 0.02692 
0.03273 0.91440 0.02730 
0.03461 0.91440 0.02767 
0.03650 0.91440 0.02801 
0.03840 0.91440 0.02833 
0.04029 0.91440 0.02863 
0.04219 0.91440 0.02892 
0.04409 0.91440 0.02919 
0.04599 0.91440 0.02944 
0.04790 0.91440 0.02969 
0.04980 0.91440 0.02991 
0.05171 0.91440 0.03013 
0.05362 0.91440 0.03033 
0.05553 0.91440 0.03052 
0.05744 0.91440 0.03070 
0.05936 0.91440 0.03087 
0.06127 0.91440 0.03103 
0.06318 0.91440 0.03118 
0.06510 0.91440 0.03132 
0.06701 0.91440 0.03144 
0.06893 0.91440 0.03156 
0.07085 0.91440 0.03167 
0.07276 0.91440 0.03178 
